OrderID,CustomerID,ProductID,ProductName,Quantity,UnitPrice,OrderDate,Country
ORD001,CUST101,PROD001,Laptop A,1,1200.00,2024-01-15,USA
ORD001,CUST101,PROD003,Mouse XYZ,2,25.50,2024-01-15,USA
ORD002,CUST102,PROD002,Smartphone B,1,850.00,2024-01-16,Canada
ORD003,CUST101,PROD004,Keyboard Pro,1,75.00,2024-01-17,USA
ORD003,CUST101,PROD005,Webcam HD,1,49.99,2024-01-17,USA
ORD004,CUST103,PROD001,Laptop A,1,1200.00,2024-01-18,UK
ORD004,CUST103,PROD006,Monitor 27in,1,300.00,2024-01-18,UK
ORD005,CUST104,PROD007,Headphones ANC,1,199.99,2024-01-19,Australia
ORD006,CUST105,PROD008,External SSD 1TB,1,150.00,2024-01-20,USA
ORD006,CUST105,PROD003,Mouse XYZ,1,25.50,2024-01-20,USA
ORD007,CUST102,PROD009,Printer Laser,1,220.00,2024-01-21,Canada
ORD008,CUST106,PROD010,Smartwatch X,1,299.99,2024-01-22,Germany
ORD009,CUST101,PROD002,Smartphone B,1,850.00,2024-01-23,USA
ORD010,CUST107,PROD004,Keyboard Pro,2,75.00,2024-01-24,France
ORD011,CUST108,PROD001,Laptop A,1,1200.00,2024-01-25,USA
ORD011,CUST108,PROD005,Webcam HD,1,49.99,2024-01-25,USA
ORD012,CUST109,PROD007,Headphones ANC,1,199.99,2024-01-26,Japan
ORD013,CUST101,PROD003,Mouse XYZ,3,25.50,2024-01-27,USA
ORD014,CUST110,PROD006,Monitor 27in,1,300.00,2024-01-28,UK
ORD015,CUST102,PROD008,External SSD 1TB,1,150.00,2024-01-29,Canada
ORD016,CUST103,PROD009,Printer Laser,1,220.00,2024-01-30,UK
ORD017,CUST104,PROD010,Smartwatch X,1,299.99,2024-01-31,Australia